"subject","Label","object","Source","Target"
"Democrats","were roughly","Republicans",467,468
"the Middle East","is arising","State",7,375
"NASA","shows","Hurricane Florence",356,469
"Democrats","deliver a victory to","Trump",467,465
"Democrats","deliver a victory to","Trump",467,439
"Democrats","deliver a victory to","Trump",467,14
"Europe","is","Trump",1,465
"Europe","is","Trump",1,439
"Europe","is","Trump",1,14
"Putin","find common ground with","Democrats",53,467
"Fransiska Nangoy","Editing by","Ed Davies",33,34
"Cooper","asked","Clinton",36,37
"Hurricane Katrina","dwarfs","Harvey",472,417
"Hurricane Katrina","dwarfs","Harvey",472,315
"Democrats","say","Trump",467,465
"Democrats","say","Trump",467,439
"Democrats","say","Trump",467,14
"Trump","withdrew from","NAFTA",465,367
"Trump","withdrew from","NAFTA",439,367
"Trump","withdrew from","NAFTA",14,367
"Democrats","went to","the White House",467,354
"Trump","decided to","NAFTA",465,367
"Trump","decided to","NAFTA",439,367
"Trump","decided to","NAFTA",14,367
"Europe","signalling greater openness in","LNG",1,412
"Trump","renegotiate","NAFTA",465,367
"Trump","renegotiate","NAFTA",439,367
"Trump","renegotiate","NAFTA",14,367
"Democrats","suspected","Trump",467,465
"Democrats","suspected","Trump",467,439
"Democrats","suspected","Trump",467,14
"LNG","underscoring the importance of","Europe",412,1
"Trump","referring to","Democrats",465,467
"Trump","referring to","Democrats",439,467
"Trump","referring to","Democrats",14,467
"LNG","delivered into","Europe",412,1
"Trump","said","Democrats",465,467
"Trump","said","Democrats",439,467
"Trump","said","Democrats",14,467
"Donald Trump","is","Hurricane Florence",40,469
"Timothy Gardner","editing by","Grant McCool",42,43
"Donald Trump","prays","Hurricane Florence",40,469
"the Washington Post","found","Democrats",366,467
"Trump","has sought to","Democrats",465,467
"Trump","has sought to","Democrats",439,467
"Trump","has sought to","Democrats",14,467
"Pruitt","said","EPA",46,371
"Hurricane Florence","made","Trump",469,465
"Hurricane Florence","made","Trump",469,439
"Hurricane Florence","made","Trump",469,14
"Goldman Sachs","had also","BHP",372,373
"Trump","taunt","Democrats",465,467
"Trump","taunt","Democrats",439,467
"Trump","taunt","Democrats",14,467
"David Shepardson","editing by","Diane Craft",44,45
"Goldman Sachs","helped","BHP",372,373
"Jones","living through","Hurricane Katrina",195,472
"Republicans","shrinking number of","Democrats",468,467
"Trump","deter a confrontation with","Putin",465,53
"Trump","deter a confrontation with","Putin",439,53
"Trump","deter a confrontation with","Putin",14,53
"Trump","will make a visit to","Asia",465,2
"Trump","will make a visit to","Asia",439,2
"Trump","will make a visit to","Asia",14,2
"Republicans","get","Republicans",468,468
"Trump","stay in","the Paris Agreement",465,476
"Trump","stay in","the Paris Agreement",439,476
"Trump","stay in","the Paris Agreement",14,476
"Trump","stay in","the Paris Agreement",465,394
"Trump","stay in","the Paris Agreement",439,394
"Trump","stay in","the Paris Agreement",14,394
"Trump","fired back at","Cruz",465,55
"Trump","fired back at","Cruz",439,55
"Trump","fired back at","Cruz",14,55
"Congress","could pressure","Republicans",377,468
"Republicans","hold","the White House",468,354
"Reuters","has learned","Tesla",355,376
"Reuters","has learned","Tesla",355,351
"Dominique Patton","Editing by","Tom Hogue",56,57
"Republicans","control both chambers as well as","the White House",468,354
"Europe","considered torture by","the United Nations",1,380
"Tesla","would pay","Tesla",376,376
"Tesla","would pay","Tesla",351,376
"Tesla","would pay","Tesla",376,351
"Tesla","would pay","Tesla",351,351
"Green","benefiting","Republicans",162,468
"Tesla","said","Wright",376,61
"Tesla","said","Wright",351,61
"the White House","told","Congress",354,377
"Harvey","came","Hurricane Irma",417,471
"Harvey","came","Hurricane Irma",315,471
"the Wall Street Journal","notes","Democrats",368,467
"Perry","is doing exactly","Trump",449,465
"Perry","is doing exactly","Trump",64,465
"Perry","is doing exactly","Trump",449,439
"Perry","is doing exactly","Trump",64,439
"Perry","is doing exactly","Trump",449,14
"Perry","is doing exactly","Trump",64,14
"Harvey","be equal to","Katrina",417,475
"Harvey","be equal to","Katrina",315,475
"Earth","is","Earth",3,3
"Harvey","will","Katrina",417,475
"Harvey","will","Katrina",315,475
"the White House","responded too","Hurricane Katrina",354,472
"Facebook","trusted","Zuckerberg",447,68
"Facebook","trusted","Zuckerberg",67,68
"Trump","suggested","the Paris Agreement",465,476
"Trump","suggested","the Paris Agreement",439,476
"Trump","suggested","the Paris Agreement",14,476
"Trump","suggested","the Paris Agreement",465,394
"Trump","suggested","the Paris Agreement",439,394
"Trump","suggested","the Paris Agreement",14,394
"Republicans","forced","Trump",468,465
"Republicans","forced","Trump",468,439
"Republicans","forced","Trump",468,14
"Zuckerberg","told","Congress",68,377
"Ron Bousso","Editing by","Louise Heavens",65,66
"Republicans","accused","Facebook",468,447
"Republicans","accused","Facebook",468,67
"Trump","wrote on","Twitter",465,460
"Trump","wrote on","Twitter",439,460
"Trump","wrote on","Twitter",14,460
"Trump","wrote on","Twitter",465,17
"Trump","wrote on","Twitter",439,17
"Trump","wrote on","Twitter",14,17
"Twitter","limit the reach of","Republicans",460,468
"Twitter","limit the reach of","Republicans",17,468
"Reuters","hailing","Uber",355,440
"Reuters","hailing","Uber",355,75
"Congress","including","Democrats",377,467
"Democrats","said","Republicans",467,468
"Trump","started under","Obama",465,337
"Trump","started under","Obama",439,337
"Trump","started under","Obama",14,337
"Democrats","focusing their criticism instead on","Pruitt",467,46
"Republicans","have called","Pruitt",468,46
"Sonali Paul","Editing by","Stephen Coates",72,73
"Hurricane Florence","wasn’t","Cooper",469,36
"McConnell","is hoping to","Democrats",214,467
"Smith","weren’t from","Hurricane Florence",329,469
"McConnell","put","Democrats",214,467
"Europe","shut out","Huawei",1,436
"Smith","were tweeting","Hurricane Florence",329,469
"Democrats","splitting","Republicans",467,468
"GE","told","Reuters",384,355
"Elon Musk","send humans to","Mars",183,4
"Alissa de Carbonnel","editing by","Philip Blenkinsop",79,80
"Capitol Hill","offers warring","Democrats",437,467
"FEMA","rebuild after","Katrina",382,475
"Democrats","are not","Zinke",467,119
"Trump","has threatened to","the Paris Agreement",465,476
"Trump","has threatened to","the Paris Agreement",439,476
"Trump","has threatened to","the Paris Agreement",14,476
"Trump","has threatened to","the Paris Agreement",465,394
"Trump","has threatened to","the Paris Agreement",439,394
"Trump","has threatened to","the Paris Agreement",14,394
"Samsung","told","the Washington Post",389,366
"Democrats","pressuring","Zinke",467,119
"Trump","reject","the Paris Agreement",465,476
"Trump","reject","the Paris Agreement",439,476
"Trump","reject","the Paris Agreement",14,476
"Trump","reject","the Paris Agreement",465,394
"Trump","reject","the Paris Agreement",439,394
"Trump","reject","the Paris Agreement",14,394
"Republicans","have urged","Pruitt",468,46
"David Stanway","editing by","Darren Schuettler",84,85
"Trump","declare","Hurricane Harvey",465,470
"Trump","declare","Hurricane Harvey",439,470
"Trump","declare","Hurricane Harvey",14,470
"Trump","declare","Hurricane Harvey",465,416
"Trump","declare","Hurricane Harvey",439,416
"Trump","declare","Hurricane Harvey",14,416
"Trump","declare","Hurricane Harvey",465,332
"Trump","declare","Hurricane Harvey",439,332
"Trump","declare","Hurricane Harvey",14,332
"Andrew","was so","Irma",86,87
"Republicans","are still","Republicans",468,468
"Katya Golubkova","writing by","Katya Golubkova",88,88
"Katya Golubkova","editing by","Gabrielle Tétrault-Farber",88,22
"Democrats","have to","Trump",467,465
"Democrats","have to","Trump",467,439
"Democrats","have to","Trump",467,14
"Tom Balmforth","editing by","Maria Kiselyova",27,91
"Democrats","negotiate with","Trump",467,465
"Democrats","negotiate with","Trump",467,439
"Democrats","negotiate with","Trump",467,14
"Harvey","was followed by","Hurricane Maria",417,473
"Harvey","was followed by","Hurricane Maria",315,473
"Maria","was","Hurricane Harvey",169,470
"Maria","was","Hurricane Harvey",169,416
"Maria","was","Hurricane Harvey",169,332
"Republicans","side with","Trump",468,465
"Republicans","side with","Trump",468,439
"Republicans","side with","Trump",468,14
"Asia","liquefied","LNG",2,412
"James Davey","Editing by","Mark Potter",93,94
"Fiat Chrysler","faces an ongoing criminal investigation by","the Justice Department",391,393
"Asia","being brought to","Europe",2,1
"Philip Blenkinsop","editing by","Ed Osmond",80,95
"Asia","were","Europe",2,1
"Democrats","elected","Democrats",467,467
"Democrats","will have to really","Republicans",467,468
"Congress","was nominated by","Trump",377,465
"Congress","was nominated by","Trump",377,439
"Congress","was nominated by","Trump",377,14
"Marianna Parraga","editing by","Jonathan Oatis",98,99
"Democrats","whip","Republicans",467,468
"Trump","replace","Scott Pruitt",465,100
"Trump","replace","Scott Pruitt",439,100
"Trump","replace","Scott Pruitt",14,100
"Cruz","told","CNN",55,361
"Democrats","win","the White House",467,354
"Democrats","having a great electoral year in","the White House",467,354
"Bolsonaro","met","Macron",102,103
"Democrats","dare","Trump",467,465
"Democrats","dare","Trump",467,439
"Democrats","dare","Trump",467,14
"Perry","was a fierce critic of","Trump",449,465
"Perry","was a fierce critic of","Trump",64,465
"Perry","was a fierce critic of","Trump",449,439
"Perry","was a fierce critic of","Trump",64,439
"Perry","was a fierce critic of","Trump",449,14
"Perry","was a fierce critic of","Trump",64,14
"Nina Chestney","editing by","David Evans",104,105
"Trump","had harsh things to","Perry",465,449
"Trump","had harsh things to","Perry",439,449
"Trump","had harsh things to","Perry",14,449
"Trump","had harsh things to","Perry",465,64
"Trump","had harsh things to","Perry",439,64
"Trump","had harsh things to","Perry",14,64
"Earth","be completely","the New York Times",3,396
"Vladimir Soldatkin","writing by","Tom Balmforth",23,27
"Reuters","Editing by","Dale Hudson",355,110
"Earth","reading","the New York Times",3,396
"Paul Sandle","editing by","Kate Holton",106,107
"Ernest Scheyder","Writing by","Dmitry Zhdannikov",108,109
"Republicans","control both chambers of","Congress",468,377
"Google","did around","YouTube",369,397
"The Wall Street Journal","reported","Tesla",399,376
"The Wall Street Journal","reported","Tesla",399,351
"Republicans","controlled both chambers of","Congress",468,377
"Africa","is poorer than","Asia",6,2
"Republicans","retain control of","Congress",468,377
"NBC","reported earlier","Trump",400,465
"NBC","reported earlier","Trump",400,439
"NBC","reported earlier","Trump",400,14
"Trump","turned to","Twitter",465,460
"Trump","turned to","Twitter",439,460
"Trump","turned to","Twitter",14,460
"Trump","turned to","Twitter",465,17
"Trump","turned to","Twitter",439,17
"Trump","turned to","Twitter",14,17
"Twitter","Follow","Twitter",460,460
"Twitter","Follow","Twitter",17,460
"Twitter","Follow","Twitter",460,17
"Twitter","Follow","Twitter",17,17
"EPA","been a part of","Pruitt",371,46
"Polina Devitt","editing by","Louise Heavens",112,66
